date,mine_id,mine_name,altitude_m,distance_km,priority_level,item_id,item_name,unit_cost,holding_cost_factor,criticality,base_consumption,day_of_year,month,quarter,is_weekend,is_month_end,temperature_c,wind_speed_kmh,visibility_km,weather_state,demand_units
2024-01-01,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,1,1,1,0,0,5.54,23.96,8.02,cloudy,55
2024-01-02,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,2,1,1,0,0,10.23,21.32,11.14,cloudy,57
2024-01-03,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,3,1,1,0,0,11.39,25.99,5.66,cloudy,55
2024-01-04,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,4,1,1,0,0,8.69,18.5,9.46,cloudy,56
2024-01-05,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,5,1,1,0,0,9.46,13.01,9.99,cloudy,57
2024-01-06,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,6,1,1,1,0,9.88,17.38,6.68,cloudy,43
2024-01-07,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,7,1,1,1,0,11.42,16.81,9.51,cloudy,48
2024-01-08,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,8,1,1,0,0,9.52,1.59,15.07,clear,54
2024-01-09,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,9,1,1,0,0,9.89,13.52,7.34,cloudy,59
2024-01-10,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,10,1,1,0,0,8.21,18.6,10.47,cloudy,55
2024-01-11,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,11,1,1,0,0,8.24,14.0,12.88,clear,50
2024-01-12,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,12,1,1,0,0,12.67,12.49,9.86,cloudy,52
2024-01-13,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,13,1,1,1,0,14.35,21.67,7.7,cloudy,53
2024-01-14,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,14,1,1,1,0,9.58,10.53,14.94,clear,48
2024-01-15,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,15,1,1,0,0,11.53,20.13,8.38,cloudy,55
2024-01-16,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,16,1,1,0,0,7.71,7.7,11.52,clear,55
2024-01-17,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,17,1,1,0,0,9.77,32.09,1.44,white_wind,52
2024-01-18,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,18,1,1,0,0,9.77,14.07,13.88,clear,60
2024-01-19,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,19,1,1,0,0,14.79,13.26,11.91,clear,50
2024-01-20,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,20,1,1,1,0,11.87,21.89,8.24,cloudy,52
2024-01-21,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,21,1,1,1,0,7.67,12.36,12.57,clear,43
2024-01-22,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,22,1,1,0,0,5.8,23.44,4.4,cloudy,54
2024-01-23,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,23,1,1,0,0,8.72,16.77,8.25,cloudy,59
2024-01-24,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,24,1,1,0,0,11.84,13.67,11.91,clear,47
2024-01-25,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,25,1,1,0,0,12.3,12.87,13.36,clear,57
2024-01-26,M01,Mine_01,4326,546,1,I01,Diesel,1.15,0.1,5,28,26,1,1,0,0,13.44,21.31,9.76,cloudy,55
